I	J	K	  Dose  	 Tot.LETd 	 e- dose 	 e- LETd 	 p dose 	 p LETd 	 He dose 	 He LETd 	 Li dose 	 Li LETd 	 Be dose 	 Be LETd 	 B dose 	 B LETd 	 C dose 	 C LETd 	 N dose 	 N LETd 	 O dose 	 O LETd 	
0	0	55	5.363302e-04	1.423728e+01	4.698565e-02	4.627740e-01	4.965564e-02	3.772686e+00	4.044725e-02	5.795629e+01	8.957920e-03	8.194757e+01	8.059144e-03	5.611629e+01	2.033287e-02	2.159707e+01	8.241376e-01	1.157768e+01	7.120223e-04	4.756342e+02	1.401377e-04	1.264511e+03	
0	0	56	5.356084e-04	1.416546e+01	4.696959e-02	4.631204e-01	5.012903e-02	3.866004e+00	4.079236e-02	5.596115e+01	9.013656e-03	7.353471e+01	8.176632e-03	5.649351e+01	2.061140e-02	2.041952e+01	8.228732e-01	1.167204e+01	7.283315e-04	5.132957e+02	1.321127e-04	1.038607e+03	
0	0	57	5.350862e-04	1.427351e+01	4.690820e-02	4.618917e-01	5.036404e-02	3.712453e+00	4.150970e-02	5.689402e+01	9.143991e-03	7.758246e+01	8.322041e-03	6.291288e+01	2.092152e-02	2.050106e+01	8.213947e-01	1.160417e+01	7.299552e-04	4.747606e+02	1.331210e-04	1.222094e+03	
0	0	58	5.344275e-04	1.405614e+01	4.672133e-02	4.616713e-01	5.080892e-02	3.788882e+00	4.199895e-02	5.580002e+01	9.278064e-03	7.934127e+01	8.402236e-03	4.799404e+01	2.120407e-02	1.950378e+01	8.201534e-01	1.160382e+01	7.441084e-04	4.172348e+02	1.277082e-04	9.207876e+02	
0	0	59	5.336834e-04	1.419332e+01	4.657716e-02	4.621274e-01	5.128669e-02	3.787910e+00	4.227170e-02	5.523134e+01	9.338464e-03	7.047229e+01	8.548741e-03	5.552567e+01	2.148732e-02	1.842010e+01	8.190187e-01	1.166332e+01	7.606384e-04	4.843814e+02	1.448788e-04	1.317108e+03	
0	0	60	5.329892e-04	1.423768e+01	4.645549e-02	4.622029e-01	5.147312e-02	3.751864e+00	4.290762e-02	5.506514e+01	9.423280e-03	6.800376e+01	8.635561e-03	5.140904e+01	2.178540e-02	2.029960e+01	8.178393e-01	1.175499e+01	7.745916e-04	4.761951e+02	1.337865e-04	1.081973e+03	
0	0	61	5.320997e-04	1.439200e+01	4.629639e-02	4.614902e-01	5.162512e-02	3.710552e+00	4.322370e-02	5.531365e+01	9.508702e-03	6.765758e+01	8.777006e-03	5.183349e+01	2.211308e-02	2.121174e+01	8.169397e-01	1.175428e+01	8.042171e-04	5.552384e+02	1.420516e-04	1.182732e+03	
0	0	62	5.316243e-04	1.438613e+01	4.619725e-02	4.642214e-01	5.205185e-02	3.708656e+00	4.370016e-02	5.416352e+01	9.771230e-03	7.469824e+01	8.891930e-03	5.419505e+01	2.239081e-02	2.109476e+01	8.154937e-01	1.170643e+01	7.900116e-04	4.924363e+02	1.444936e-04	1.259504e+03	
0	0	63	5.311757e-04	1.444532e+01	4.617521e-02	4.639031e-01	5.239633e-02	3.704496e+00	4.440703e-02	5.597417e+01	9.794398e-03	7.027913e+01	8.974050e-03	4.974455e+01	2.266212e-02	1.929662e+01	8.140417e-01	1.171243e+01	8.282025e-04	5.363761e+02	1.443395e-04	1.334311e+03	
0	0	64	5.300582e-04	1.446706e+01	4.600181e-02	4.627146e-01	5.249043e-02	3.636116e+00	4.460691e-02	5.437065e+01	9.934812e-03	7.346908e+01	9.123378e-03	5.321902e+01	2.300339e-02	2.231087e+01	8.132904e-01	1.168405e+01	8.398672e-04	4.942703e+02	1.444945e-04	1.263385e+03	
